iter	Passed	Remaining
428	1969	2621
429	1971	2613
430	1973	2605
431	1994	2622
432	1996	2614
433	1999	2606
434	2000	2598
435	2003	2591
436	2005	2583
437	2011	2580
438	2013	2573
439	2016	2566
440	2018	2558
441	2020	2551
442	2026	2547
443	2028	2539
444	2050	2557
445	2052	2549
446	2054	2541
447	2065	2544
448	2067	2537
449	2109	2578
450	2112	2571
451	2114	2563
452	2117	2556
453	2119	2548
454	2124	2545
455	2127	2538
456	2129	2530
457	2131	2522
458	2133	2514
459	2136	2508
460	2139	2501
461	2153	2507
462	2155	2500
463	2158	2493
464	2160	2485
465	2162	2478
466	2172	2479
467	2174	2472
468	2176	2464
469	2178	2456
470	2181	2449
471	2184	2443
472	2186	2436
473	2236	2481
474	2238	2474
475	2240	2466
476	2242	2458
477	2244	2451
478	2255	2453
479	2257	2445
480	2259	2438
481	2262	2431
482	2264	2423
483	2266	2416
484	2268	2408
485	2270	2401
486	2282	2404
487	2284	2397
488	2287	2390
489	2289	2383
490	2291	2375
491	2295	2370
492	2297	2363
493	2300	2356
494	2302	2349
495	2304	2341
496	2306	2334
497	2311	2329
498	2326	2336
499	2328	2328
500	2331	2322
501	2333	2314
502	2335	2307
503	2337	2300
504	2350	2303
505	2352	2296
506	2356	2291
507	2359	2285
508	2361	2278
509	2363	2270
510	2365	2264
511	2368	2257
512	2380	2259
513	2407	2276
514	2409	2269
515	2411	2262
516	2413	2255
517	2416	2248
518	2420	2243
519	2422	2236
520	2425	2229
521	2427	2222
522	2429	2215
523	2431	2208
524	2432	2200
525	2443	2202
526	2475	2222
527	2478	2215
528	2480	2208
529	2483	2201
530	2486	2196
531	2488	2189
532	2490	2182
533	2493	2176
534	2495	2169
535	2501	2165
536	2503	2158
537	2505	2151
538	2507	2144
539	2548	2171
540	2550	2164
541	2554	2158
542	2561	2155
543	2567	2152
544	2569	2145
545	2571	2138
546	2573	2131
547	2575	2124
548	2578	2117
549	2580	2111
550	2582	2104
551	2584	2097
552	2593	2096
553	2596	2090
554	2598	2083
555	2600	2076
556	2604	2071
557	2607	2065
558	2609	2058
559	2612	2052
560	2614	2045
561	2616	2038
562	2631	2042
563	2633	2035
564	2662	2049
565	2664	2043
566	2671	2040
567	2673	2033
568	2676	2027
569	2678	2020
570	2680	2013
571	2682	2007
572	2685	2001
573	2687	1994
574	2690	1988
575	2692	1981
576	2694	1975
577	2723	1988
578	2728	1983
579	2731	1977
580	2735	1972
581	2738	1966
582	2740	1960
583	2742	1953
584	2744	1947
585	2756	1947
586	2758	1940
587	2760	1933
588	2762	1927
589	2782	1933
